object file;REPCXX.prep_and_parser;preprocessing;parsing;REPCXX.sema_and_rdt;RDT;REPCXX.lef_init;REPCXX.checkers;REPCXX.XPath;REPCXX.MIR_related;ast_to_mir converter;mir checksum;mir save;REPCXX.metrics;REPCXX.call_graph;clef.processing_file;GENERAL_KB;READKB;UMR;NPD.SRC;NPD;RNPD;RNC;ALLOCKB;MLK;ABVKB;TaintedStringKB;TaintedAllocKB;CheckLocAddrRet;INF_LOOP;restore mir;clef.kbDInit;recv_cached_data;mir_function_init;ALLOCKB.XMRF;ALLOCKB.ALLOC;TaintedAlloc.SINKKB;TaintedString.PROPKB;clef.kbDump;clef.kbDumpSocket;UsageRulesChecker;NPDKB;mir_function_finalize;statNPD;TaintedAlloc;AnalyzeModifiedGlobals;TaintedAlloc.SOURCEKB;TaintedString.SINKKB;TaintedString.SOURCEKB;FormatString;WRITEKB;FREEKB;CheckIterator;TaintedString;REPCXX.lef_finalize;FREE;rhReleaseKB;LS;MallocSizeofPointer;CLASSLEVEL;TaintedString.ABV_NNTS;USAGE_RULES_FOR_CALLS;Concurrency;KWLEF.MAIN;KWLEF.statNPD;KWLEF.analysis loop;KBDB_SOCK_GET;KBDB_SOCK_GET_ENT;KBDB_SOCK_GET_KB;KBDB_SOCK_UPD;KBDB_SOCK_UPD_KB;KBDB_SOCK_UPD_KB_RECV;KBDB_SOCK_UPD_KB_DBREAD;KBDB_SOCK_UPD_KB_DBWRITE;KBDB_SOCK_UPD_KB_SYNC;KWLEF.M2SOCK_INNER;KWLEF.M1SOCK_OUTER;KWLEF.finalizing cache;KWLEF.generated kb dump;KBDB_CACHE_WRITE;LINKER.ParsingOptions;LINKER.InitializationInv;LINKER.ReadingObjects;LINKER.Linking;
null;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.003;0.053;0.087;0.001
adler32.c_0.o;0.198;0.140;0.015;0.010;0.010;0.005;0.004;0.001;0.010;0.002;0.001;0.005;0.002;0.003;0.369;0.222;0.001;0.001;0.001;0.002;0.003;0.001;0.003;0.001;0.006;0.001;0.004;0.003;0.002;0.002;0.059;0.003;0.019;0.001;0.002;0.004;0.001;0.011;0.010;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
compress.c_1.o;0.130;0.094;0.003;0.002;0.002;0.028;0.044;0.000;0.004;0.001;0.000;0.002;0.001;0.001;0.138;0.004;0.001;0.000;0.000;0.001;0.001;0.000;0.003;0.001;0.003;0.000;0.000;0.001;0.000;0.002;0.035;0.003;0.003;0.002;0.001;0.000;0.000;0.046;0.045;0.001;0.001;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
crc32.c_2.o;0.199;0.145;0.017;0.010;0.010;0.003;0.007;0.001;0.029;0.006;0.003;0.016;0.002;0.003;1.742;0.887;0.004;0.001;0.002;0.011;0.013;0.004;0.042;0.004;0.554;0.002;0.018;0.008;0.005;0.010;0.038;0.006;0.076;0.038;0.004;0.017;0.000;0.008;0.005;0.000;0.014;0.001;0.002;0.001;0.001;0.001;0.001;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
deflate.c_3.o;0.209;0.138;0.035;0.013;0.013;0.004;0.010;0.006;0.188;0.047;0.021;0.111;0.006;0.005;7.885;2.187;0.276;0.025;0.049;0.209;0.099;0.008;0.165;0.040;2.304;0.017;0.755;0.161;0.469;0.048;0.019;0.003;0.654;0.120;0.045;0.754;0.016;0.020;0.007;0.001;0.038;0.019;0.004;0.004;0.006;0.001;0.000;0.001;0.001;0.253;0.001;0.005;0.006;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
example.c_15.o;0.157;0.105;0.023;0.011;0.011;0.002;0.010;0.003;0.029;0.010;0.002;0.012;0.002;0.005;0.526;0.135;0.006;0.002;0.002;0.024;0.007;0.001;0.017;0.011;0.031;0.018;0.009;0.010;0.004;0.014;0.035;0.003;0.095;0.007;0.010;0.009;0.005;0.007;0.005;0.000;0.015;0.002;0.001;0.002;0.001;0.000;0.004;0.009;0.006;0.002;0.000;0.000;0.006;0.001;0.005;0.006;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
gzclose.c_4.o;0.284;0.228;0.024;0.016;0.016;0.003;0.006;0.003;0.006;0.003;0.000;0.001;0.002;0.005;0.064;0.003;0.001;0.000;0.000;0.000;0.000;0.000;0.001;0.000;0.000;0.000;0.001;0.000;0.000;0.000;0.018;0.003;0.001;0.001;0.000;0.001;0.000;0.005;0.005;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.014;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
gzlib.c_5.o;0.226;0.159;0.035;0.016;0.016;0.005;0.007;0.003;0.026;0.007;0.002;0.013;0.002;0.005;1.453;0.736;0.014;0.007;0.104;0.028;0.007;0.000;0.141;0.013;0.111;0.012;0.002;0.016;0.001;0.005;0.040;0.003;0.078;0.010;0.131;0.002;0.011;0.018;0.012;0.000;0.011;0.005;0.001;0.001;0.001;0.000;0.001;0.000;0.000;0.008;0.001;0.000;0.000;0.001;0.052;0.000;0.009;0.001;0.001;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
gzread.c_6.o;0.233;0.169;0.033;0.017;0.017;0.004;0.006;0.004;0.036;0.007;0.008;0.016;0.003;0.006;1.738;0.480;0.068;0.005;0.040;0.024;0.007;0.001;0.290;0.074;0.242;0.110;0.065;0.011;0.011;0.011;0.020;0.005;0.067;0.041;0.249;0.065;0.012;0.023;0.006;0.000;0.035;0.002;0.002;0.000;0.002;0.000;0.000;0.098;0.001;0.048;0.008;0.001;0.001;0.000;0.010;0.014;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
gzwrite.c_7.o;0.233;0.172;0.028;0.014;0.014;0.004;0.008;0.003;0.027;0.007;0.003;0.012;0.003;0.005;1.585;0.452;0.080;0.002;0.005;0.016;0.009;0.000;0.371;0.103;0.070;0.028;0.062;0.015;0.005;0.009;0.037;0.005;0.099;0.059;0.312;0.061;0.024;0.015;0.009;0.001;0.022;0.005;0.003;0.000;0.001;0.001;0.004;0.000;0.001;0.064;0.009;0.000;0.001;0.000;0.014;0.035;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
infback.c_8.o;0.179;0.126;0.022;0.010;0.010;0.002;0.005;0.002;0.100;0.012;0.011;0.069;0.009;0.005;37.162;0.407;0.004;0.032;0.039;1.793;0.036;0.028;0.198;0.068;0.622;0.029;0.637;0.382;0.245;0.052;0.017;0.002;1.744;0.131;0.067;0.636;0.026;0.010;0.009;0.000;30.766;0.018;0.005;0.002;0.004;0.000;0.002;0.001;0.000;0.003;0.000;0.001;0.000;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
inffast.c_11.o;0.162;0.104;0.015;0.007;0.007;0.003;0.005;0.002;0.016;0.004;0.002;0.008;0.002;0.003;1.422;0.002;0.035;0.002;0.000;0.014;0.023;0.000;0.036;0.010;0.628;0.000;0.013;0.025;0.057;0.006;0.273;0.011;0.233;0.027;0.009;0.012;0.000;0.013;0.012;0.001;0.000;0.003;0.000;0.000;0.000;0.001;0.000;0.000;0.000;0.015;0.000;0.000;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
inflate.c_9.o;0.188;0.122;0.030;0.011;0.011;0.003;0.007;0.004;0.128;0.021;0.017;0.080;0.006;0.004;20.132;1.071;0.023;0.080;0.355;6.214;0.075;0.061;0.363;0.128;2.836;0.052;3.129;0.882;0.698;0.046;0.021;0.003;3.977;0.240;0.123;3.127;0.049;0.012;0.008;0.000;0.016;0.028;0.007;0.003;0.007;0.002;0.003;0.000;0.001;0.015;0.001;0.002;0.005;0.001;0.000;0.001;0.000;0.000;0.000;0.001;0.001;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
inftrees.c_10.o;0.156;0.103;0.015;0.007;0.007;0.004;0.006;0.002;0.019;0.004;0.003;0.010;0.002;0.002;3.257;0.083;0.014;0.028;0.008;0.009;0.005;0.000;0.034;0.005;1.981;0.000;0.044;0.022;0.113;0.005;0.029;0.003;0.193;0.027;0.007;0.044;0.000;0.005;0.004;0.000;0.644;0.002;0.001;0.001;0.000;0.000;0.000;0.000;0.000;0.005;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
kw_timers.o;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;41.075;0.007;40.684;0.080;0.048;0.032;0.115;0.090;0.001;0.002;0.010;0.060;0.242;40.449;0.019;0.010;0.004;0.000;0.000;0.000;0.000
minigzip.c_16.o;0.156;0.117;0.014;0.008;0.008;0.002;0.007;0.002;0.018;0.005;0.002;0.007;0.001;0.005;0.449;0.127;0.001;0.004;0.005;0.020;0.005;0.000;0.009;0.005;0.024;0.020;0.009;0.001;0.004;0.005;0.033;0.005;0.069;0.004;0.005;0.009;0.006;0.009;0.007;0.001;0.006;0.000;0.001;0.001;0.000;0.000;0.004;0.010;0.001;0.002;0.002;0.000;0.002;0.000;0.001;0.035;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
trees.c_12.o;0.188;0.126;0.028;0.012;0.012;0.003;0.005;0.004;0.086;0.016;0.011;0.054;0.005;0.004;5.734;0.529;0.044;0.023;0.010;0.043;0.053;0.026;0.086;0.022;3.766;0.001;0.109;0.039;0.039;0.062;0.314;0.002;0.184;0.065;0.021;0.109;0.000;0.017;0.008;0.001;0.261;0.006;0.003;0.001;0.002;0.000;0.001;0.000;0.001;0.023;0.000;0.000;0.004;0.000;0.000;0.000;0.000;0.000;0.000;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
